phase,horizon_h,subset,reference,candidate,delta_hits,delta_mae_m,delta_max_abs_m
validation,12,all,levels45_augmented,augmented,3,0.013095178068938396,-0.15391760163841361
validation,12,level_ge_7m,observed_control,augmented,-4,0.3022511301491053,0.28734887124548614
validation,12,level_ge_7m,core_original,core_augmented,1,-0.004299583270876317,-0.37933217870564384
validation,12,level_ge_7m,levels45_original,levels45_augmented,-1,0.06901382452087979,-0.243817753084433
validation,12,level_ge_7m,rain108_original,rain108_augmented,-4,0.29677446438585575,0.3637789772855218
validation,12,level_ge_7m,core_original,levels45_original,-5,0.07641505144282235,-0.8035822468542619
validation,12,level_ge_7m,core_augmented,levels45_augmented,-7,0.14972845923457845,-0.6680678212330511
validation,12,level_ge_7m,rain108_original,observed_control,-1,0.09817729411957343,0.24724828712625246
validation,12,level_ge_7m,rain108_augmented,augmented,-1,0.103653959882823,0.17081818108621682
validation,12,level_ge_7m,core_original,rain108_original,0,-0.2875620976415797,-0.6890263749281491
validation,12,level_ge_7m,core_augmented,rain108_augmented,-5,0.013511950015152374,0.05408478106301651
validation,12,level_ge_7m,levels45_original,observed_control,4,-0.2657998549648286,0.3618041590523653
validation,12,level_ge_7m,levels45_augmented,augmented,1,-0.032562549336603075,0.8929707833822844
test,1,all,observed_control,augmented,0,0.005451030328302353,-0.5081295726620736
test,1,all,core_original,core_augmented,3,0.002812059390029792,-0.5404584665645658
test,1,all,levels45_original,levels45_augmented,4,0.002110087082865565,-0.6561796813764991
test,1,all,rain108_original,rain108_augmented,1,0.004942562737274801,-0.43218582112456705
test,1,all,core_original,levels45_original,0,-0.006231868606747987,0.03916158478608889
test,1,all,core_augmented,levels45_augmented,1,-0.006933840913912213,-0.07655963002584443
test,1,all,rain108_original,observed_control,0,-0.006663391971666328,0.013843396324135782
test,1,all,rain108_augmented,augmented,-1,-0.0061549243806387766,-0.06210035521337076
test,1,all,core_original,rain108_original,0,0.00011155772980776107,-0.04194744750830193
test,1,all,core_augmented,rain108_augmented,-2,0.0022420610770527705,0.06632519793169678
test,1,all,levels45_original,observed_control,0,-0.0003199656351105806,-0.06726563597025503
test,1,all,levels45_augmented,augmented,-4,0.0030209776103262073,0.08078447274417044
test,1,level_ge_7m,observed_control,augmented,-1,0.02309503411934355,-0.5081295726620736
test,1,level_ge_7m,core_original,core_augmented,2,-0.004962043100540076,-0.5404584665645658
test,1,level_ge_7m,levels45_original,levels45_augmented,3,-0.001289900895961274,-0.6561796813764991
test,1,level_ge_7m,rain108_original,rain108_augmented,1,0.00802261731107258,-0.43218582112456705
test,1,level_ge_7m,core_original,levels45_original,0,-0.008200802704376009,0.03916158478608889
test,1,level_ge_7m,core_augmented,levels45_augmented,1,-0.004528660499797207,-0.07655963002584443
test,1,level_ge_7m,rain108_original,observed_control,0,-0.00702124720450821,0.013843396324135782
test,1,level_ge_7m,rain108_augmented,augmented,-2,0.008051169603762759,-0.06210035521337076
test,1,level_ge_7m,core_original,rain108_original,0,-0.0018517882646426481,-0.04194744750830193
test,1,level_ge_7m,core_augmented,rain108_augmented,-1,0.011132872146970008,0.06632519793169678
test,1,level_ge_7m,levels45_original,observed_control,0,-0.0006722327647748494,-0.06726563597025503
test,1,level_ge_7m,levels45_augmented,augmented,-4,0.023712702250529974,0.08078447274417044
test,2,all,observed_control,augmented,-22,0.010122827900246933,-1.3051369028278472
test,2,all,core_original,core_augmented,-3,0.001172988773569486,-0.6488044830402533
test,2,all,levels45_original,levels45_augmented,-10,0.003417397422532345,-0.9084237580589578
test,2,all,rain108_original,rain108_augmented,-11,0.00769186377964462,-1.0250573862354608
test,2,all,core_original,levels45_original,-2,-0.010274801070291842,0.20321886107635923
test,2,all,core_augmented,levels45_augmented,-9,-0.008030392421328983,-0.056400413942345295
test,2,all,rain108_original,observed_control,8,-0.014525872495968373,0.27138896172310645
test,2,all,rain108_augmented,augmented,-3,-0.012094908375366059,-0.008690554869279943
test,2,all,core_original,rain108_original,-12,0.0027010917357582487,-0.056237040052574905
