delay_minutes,horizon_h,subset,population,family,n,hits,hit_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
15,5,all,individual,reference,1928,1583,0.821058091286307,0.31512053419675123,-0.012628917343673444,0.6759765256848952,1.4164009885108875,4.023604409822896
15,5,all,individual,julho_levels,1928,1519,0.7878630705394191,0.33217603391990747,0.02417924037647078,0.6984231882137162,1.4041430489720987,3.210054029360098
15,5,all,common_three,reference,1926,1582,0.8213914849428868,0.3150355173303542,-0.012229786648768521,0.6761485170393164,1.417002688245573,4.023604409822896
15,5,all,common_three,julho_levels,1926,1517,0.7876427829698858,0.3321243884534722,0.024600932856713335,0.6990305313689351,1.4044798836550378,3.210054029360098
30,5,all,individual,reference,1929,1577,0.8175220321410057,0.31904924581782035,-0.012915620721672598,0.6724879806656489,1.4471516279899637,4.062538066259263
30,5,all,individual,julho_levels,1929,1508,0.7817522032141005,0.3360076995037597,0.023939845482598074,0.7012221775719911,1.4423476345195911,3.170118349135903
30,5,all,common_three,reference,1926,1575,0.8177570093457944,0.318943872164128,-0.012533453734392538,0.6730818170804922,1.4472294361672988,4.062538066259263
30,5,all,common_three,julho_levels,1926,1506,0.7819314641744548,0.3358815671027944,0.024277011656059565,0.7017648019864164,1.4424007741601534,3.170118349135903
45,5,all,individual,reference,1929,1574,0.815966822187662,0.3221176086277084,-0.013440122301654716,0.6745325291410565,1.4775110315731188,4.055143356354666
45,5,all,individual,julho_levels,1929,1511,0.7833074131674442,0.33914503181651895,0.023367681606127316,0.7057808184353969,1.478290421225782,3.11168661205679
45,5,all,common_three,reference,1926,1571,0.8156801661474559,0.3221983159809457,-0.013208687620045472,0.674651074153118,1.478893216600948,4.055143356354666
45,5,all,common_three,julho_levels,1926,1508,0.7829698857736241,0.3391746074866408,0.023583428798485486,0.7065250620258987,1.4788271175869006,3.11168661205679
15,5,level_ge_7m,individual,reference,235,127,0.5404255319148936,0.6845449010148217,0.22306409147112788,1.52686403398553,2.882253938572299,4.023604409822896
15,5,level_ge_7m,individual,julho_levels,235,131,0.5574468085106383,0.6633782520447192,0.25341805394247013,1.5035298788605944,2.673171457257972,3.210054029360098
15,5,level_ge_7m,common_three,reference,235,127,0.5404255319148936,0.6845449010148217,0.22306409147112788,1.52686403398553,2.882253938572299,4.023604409822896
15,5,level_ge_7m,common_three,julho_levels,235,131,0.5574468085106383,0.6633782520447192,0.25341805394247013,1.5035298788605944,2.673171457257972,3.210054029360098
30,5,level_ge_7m,individual,reference,235,128,0.5446808510638298,0.6984060667145667,0.23511931416433587,1.5619236037650472,2.9049175257653443,4.062538066259263
30,5,level_ge_7m,individual,julho_levels,235,128,0.5446808510638298,0.6778048400457777,0.2654773854991369,1.528419021073065,2.688742039742509,3.170118349135903
30,5,level_ge_7m,common_three,reference,235,128,0.5446808510638298,0.6984060667145667,0.23511931416433587,1.5619236037650472,2.9049175257653443,4.062538066259263
30,5,level_ge_7m,common_three,julho_levels,235,128,0.5446808510638298,0.6778048400457777,0.2654773854991369,1.528419021073065,2.688742039742509,3.170118349135903
45,5,level_ge_7m,individual,reference,235,125,0.5319148936170213,0.7097284799307008,0.2432695413054972,1.5876196237736413,3.0071790320598173,4.055143356354666
45,5,level_ge_7m,individual,julho_levels,235,126,0.5361702127659574,0.6901726289499489,0.27362855125395247,1.5402534232735714,2.7384647047287,3.11168661205679
45,5,level_ge_7m,common_three,reference,235,125,0.5319148936170213,0.7097284799307008,0.2432695413054972,1.5876196237736413,3.0071790320598173,4.055143356354666
45,5,level_ge_7m,common_three,julho_levels,235,126,0.5361702127659574,0.6901726289499489,0.27362855125395247,1.5402534232735714,2.7384647047287,3.11168661205679
15,6,all,individual,reference,1926,1514,0.7860851505711319,0.3496823823799257,-0.015171731624747135,0.7197768561492572,1.586166356496661,4.815243764623784
15,6,all,individual,julho_levels,1926,1458,0.7570093457943925,0.3640820566980719,0.032982611847010394,0.7270151656874848,1.5270493283282969,4.190778631942209
15,6,all,common_three,reference,1924,1512,0.7858627858627859,0.3496967825179587,-0.014838407593595896,0.7202638912346488,1.5863582580657587,4.815243764623784
15,6,all,common_three,julho_levels,1924,1456,0.7567567567567568,0.3641431721590759,0.03333424552170819,0.7272062712858056,1.5297560426167394,4.190778631942209
30,6,all,individual,reference,1927,1509,0.7830825116761806,0.35127379910915146,-0.01547194874963489,0.7137366444733115,1.615831775296538,4.826047752561983
30,6,all,individual,julho_levels,1927,1456,0.7555786196159834,0.36597584588234916,0.0327608313470779,0.7231475462200022,1.562163254152328,4.2014637996448325
30,6,all,common_three,reference,1924,1507,0.7832640332640333,0.35126515982273343,-0.015095415847891492,0.7138905376889826,1.6160598263301977,4.826047752561983
30,6,all,common_three,julho_levels,1924,1453,0.7551975051975052,0.3659441963082754,0.033067840399497325,0.723152081086359,1.566834430500668,4.2014637996448325
45,6,all,individual,reference,1927,1512,0.7846393357550597,0.3521969993475082,-0.01599844064056061,0.7133582600083495,1.6422510581076337,4.844259482340506
45,6,all,individual,julho_levels,1927,1461,0.7581733264141152,0.3671026772914653,0.032176301934174145,0.7203677164770984,1.5876353477393155,4.2193921087391875
45,6,all,common_three,reference,1924,1509,0.7843035343035343,0.35238409826553646,-0.015790164126458037,0.7138064821608843,1.6426674014389855,4.844259482340506
45,6,all,common_three,julho_levels,1924,1458,0.7577962577962578,0.36721553168549265,0.032365377760546744,0.721009643477131,1.5908048544386912,4.2193921087391875
