origin,horizon_h,delay_minutes,recomputed_m,saved_m,difference_m,passed
2026-07-22T11:00:00-03:00,9,30,24.437503143824657,24.437503143824664,-7.105427357601002e-15,True
2026-07-22T11:00:00-03:00,9,45,24.45569232767948,24.455692327679486,-7.105427357601002e-15,True
2026-07-22T11:00:00-03:00,10,15,24.915007592007875,24.91500759200787,3.552713678800501e-15,True
2026-07-22T11:00:00-03:00,10,30,24.948919745488652,24.948919745488652,0.0,True
2026-07-22T11:00:00-03:00,10,45,24.963390816682995,24.963390816682992,3.552713678800501e-15,True
2026-07-22T11:00:00-03:00,11,15,25.21247793821987,25.212477938219866,3.552713678800501e-15,True
2026-07-22T11:00:00-03:00,11,30,25.240778210982,25.240778210981997,3.552713678800501e-15,True
2026-07-22T11:00:00-03:00,11,45,25.252231939996634,25.252231939996626,7.105427357601002e-15,True
2026-07-22T11:00:00-03:00,12,15,25.49415895814758,25.49415895814758,0.0,True
2026-07-22T11:00:00-03:00,12,30,25.517755072881577,25.51775507288157,7.105427357601002e-15,True
2026-07-22T11:00:00-03:00,12,45,25.52667896147741,25.5266789614774,7.105427357601002e-15,True
2026-08-13T09:00:00-03:00,1,15,8.784942320149979,8.784942320149979,0.0,True
2026-08-13T09:00:00-03:00,1,30,8.80302882064193,8.80302882064193,0.0,True
2026-08-13T09:00:00-03:00,1,45,8.811406568464635,8.811406568464635,0.0,True
2026-08-13T09:00:00-03:00,2,15,8.992063195619819,8.99206319561982,-1.7763568394002505e-15,True
2026-08-13T09:00:00-03:00,2,30,9.005901870471348,9.005901870471348,0.0,True
2026-08-13T09:00:00-03:00,2,45,9.011417937055134,9.011417937055137,-3.552713678800501e-15,True
2026-08-13T09:00:00-03:00,3,15,9.170371340349439,9.170371340349437,1.7763568394002505e-15,True
2026-08-13T09:00:00-03:00,3,30,9.18070476109991,9.180704761099912,-1.7763568394002505e-15,True
2026-08-13T09:00:00-03:00,3,45,9.183858103159343,9.183858103159345,-1.7763568394002505e-15,True
2026-08-13T09:00:00-03:00,4,15,9.333462701049845,9.333462701049843,1.7763568394002505e-15,True
2026-08-13T09:00:00-03:00,4,30,9.34088239313705,9.34088239313705,0.0,True
2026-08-13T09:00:00-03:00,4,45,9.342070886068027,9.342070886068027,0.0,True
2026-08-13T09:00:00-03:00,5,15,9.459925585037022,9.459925585037022,0.0,True
2026-08-13T09:00:00-03:00,5,30,9.464937173329758,9.464937173329757,1.7763568394002505e-15,True
2026-08-13T09:00:00-03:00,5,45,9.464501208401918,9.464501208401918,0.0,True
2026-08-13T09:00:00-03:00,6,15,9.539445347007076,9.539445347007076,0.0,True
2026-08-13T09:00:00-03:00,6,30,9.54246806406033,9.542468064060328,1.7763568394002505e-15,True
2026-08-13T09:00:00-03:00,6,45,9.540690068297748,9.540690068297748,0.0,True
2026-08-13T09:00:00-03:00,7,15,9.59583564978569,9.59583564978569,0.0,True
2026-08-13T09:00:00-03:00,7,30,9.597196839506342,9.597196839506342,0.0,True
2026-08-13T09:00:00-03:00,7,45,9.594297450965831,9.594297450965831,0.0,True
2026-08-13T09:00:00-03:00,8,15,9.61864890729474,9.618648907294737,1.7763568394002505e-15,True
2026-08-13T09:00:00-03:00,8,30,9.618624899428777,9.618624899428777,0.0,True
2026-08-13T09:00:00-03:00,8,45,9.614790450017578,9.614790450017578,0.0,True
2026-08-13T09:00:00-03:00,9,15,9.61709749690493,9.61709749690493,0.0,True
2026-08-13T09:00:00-03:00,9,30,9.6159125131929,9.6159125131929,0.0,True
2026-08-13T09:00:00-03:00,9,45,9.611294248539556,9.611294248539554,1.7763568394002505e-15,True
2026-08-13T09:00:00-03:00,10,15,9.624351456528414,9.624351456528412,1.7763568394002505e-15,True
2026-08-13T09:00:00-03:00,10,30,9.622180518937903,9.622180518937904,-1.7763568394002505e-15,True
2026-08-13T09:00:00-03:00,10,45,9.616896527328143,9.616896527328144,-1.7763568394002505e-15,True
2026-08-13T09:00:00-03:00,11,15,9.663025512177912,9.663025512177912,0.0,True
2026-08-13T09:00:00-03:00,11,30,9.660011166762452,9.660011166762454,-1.7763568394002505e-15,True
2026-08-13T09:00:00-03:00,11,45,9.654157643425888,9.65415764342589,-1.7763568394002505e-15,True
2026-08-13T09:00:00-03:00,12,15,9.728695686048907,9.728695686048908,-1.7763568394002505e-15,True
2026-08-13T09:00:00-03:00,12,30,9.724962585661608,9.72496258566161,-1.7763568394002505e-15,True
2026-08-13T09:00:00-03:00,12,45,9.718623665195848,9.718623665195848,0.0,True
