phase,profile,horizon_h,subset,reference,observed_targets,failures,reference_hits,aged_hits,delta_hits,reference_mae_m,aged_mae_m,delta_mae_m,reference_max_m,aged_max_m
test,B,9,all,profile_B_control,1936,14,1497,1519,22,0.39008256765275684,0.3876190670934632,-0.0024635005592936188,6.1664049021704095,6.117121038272199
test,B,9,level_ge_7m,mixed_profile_candidate,237,1,115,114,-1,0.9819884786576049,0.9776693051924121,-0.004319173465192727,6.137372342022433,6.117121038272199
test,B,9,level_ge_7m,profile_B_control,237,1,113,114,1,0.9670168119763842,0.9776693051924121,0.010652493216027903,6.1664049021704095,6.117121038272199
test,B,10,all,mixed_profile_candidate,1935,15,1427,1427,0,0.4278943953424952,0.4278943953424952,0.0,6.73028988534079,6.73028988534079
test,B,10,all,profile_B_control,1935,15,1419,1427,8,0.4413798816356144,0.4278943953424952,-0.013485486293119242,6.4336778764475095,6.73028988534079
test,B,10,level_ge_7m,mixed_profile_candidate,237,1,89,89,0,1.1134412628023913,1.1134412628023913,0.0,6.73028988534079,6.73028988534079
test,B,10,level_ge_7m,profile_B_control,237,1,90,89,-1,1.1444952382355695,1.1134412628023913,-0.031053975433178227,6.4336778764475095,6.73028988534079
test,B,11,all,mixed_profile_candidate,1934,16,1358,1358,0,0.47240799035110187,0.47240799035110187,0.0,7.161586727890171,7.161586727890171
test,B,11,all,profile_B_control,1934,16,1350,1358,8,0.47596519867577963,0.47240799035110187,-0.003557208324677763,6.640039800767847,7.161586727890171
test,B,11,level_ge_7m,mixed_profile_candidate,237,1,79,79,0,1.2707682625140837,1.2707682625140837,0.0,7.161586727890171,7.161586727890171
test,B,11,level_ge_7m,profile_B_control,237,1,82,79,-3,1.2579884028317074,1.2707682625140837,0.012779859682376271,6.640039800767847,7.161586727890171
test,B,12,all,mixed_profile_candidate,1933,17,1317,1317,0,0.49961490285963206,0.49961490285963206,0.0,7.606918439530505,7.606918439530505
test,B,12,all,profile_B_control,1933,17,1326,1317,-9,0.49684970437980597,0.49961490285963206,0.002765198479826092,6.959959168263467,7.606918439530505
test,B,12,level_ge_7m,mixed_profile_candidate,237,1,75,75,0,1.384911641785263,1.384911641785263,0.0,7.606918439530505,7.606918439530505
test,B,12,level_ge_7m,profile_B_control,237,1,77,75,-2,1.3522807747230332,1.384911641785263,0.03263086706222973,6.959959168263467,7.606918439530505
