phase,subset,family,lead_h,n,mae_m3_s,bias_m3_s,p90_abs_m3_s,p98_abs_m3_s,max_abs_m3_s,rmse_m3_s
test,high_flow,reference,2,271,232.45900834111026,-18.032878138352572,385.48250636554894,2162.2257504086847,4974.78676699494,626.0442795348979
test,high_flow,reference,3,271,285.12194358787775,-30.229169229626937,461.4646974248044,2312.411875603815,6252.761972639042,794.320484327895
test,high_flow,reference,4,271,325.3143780783397,-48.17553029232838,548.0700512329249,2414.597450767971,6263.526788935249,849.8620333160644
test,high_flow,reference,5,271,365.4908734155909,-69.56382146335488,659.9313127081458,2524.2893559197164,6992.49466895593,913.5274338420323
test,high_flow,reference,6,271,402.8494100063365,-92.62333292657844,872.2621806667739,2789.614943940506,6629.034737206933,962.8421056433885
test,high_flow,reference,7,271,459.8985836314835,-115.95714123615728,1032.2415811900046,2981.6310648626873,7042.648750530315,1069.8309752569082
test,high_flow,reference,8,271,520.432462475439,-142.1650421958084,1395.5399283595307,3311.440508721166,7285.60583848516,1172.1275576795663
test,high_flow,reference,9,271,573.5254903966777,-172.28242271838698,1376.993894986961,3583.8334714752827,7732.903594347952,1246.776152853056
test,high_flow,reference,10,271,625.6645976040562,-206.74172017135015,1560.6618978439685,3723.996081710725,7626.503207725082,1307.0190002796037
test,high_flow,reference,11,271,687.9518966007204,-242.3254024736225,1913.80466537135,4243.566740801461,8160.6119795777795,1406.976778510547
test,high_flow,conditional,0,271,76.54578482993566,-8.078217309311144,201.46635941316822,368.3677128458191,747.6062867426567,128.26760415050958
test,high_flow,conditional,1,271,111.45574395170516,-15.259198648158888,268.8593897735286,486.3325423230164,717.6345164862014,165.9169994624346
test,high_flow,conditional,2,271,137.09980258649128,-22.071799864329293,335.07163123080954,481.56813325157054,954.587941407648,199.3204333291849
test,high_flow,conditional,3,271,165.3323994512577,-35.18655912696444,387.4962095683502,676.8712180784354,1251.706930912148,248.8303848778372
test,high_flow,conditional,4,271,199.17264366591385,-53.890558644860775,480.7409671279329,1023.7005890179206,1427.3129458800095,308.3527512363364
test,high_flow,conditional,5,271,232.688372018935,-75.74184782304143,532.1651628431187,1338.0687242018932,1713.6623966887182,383.45038920646084
test,high_flow,conditional,6,271,264.8534495532923,-99.27618272008888,600.4253964391673,1621.7092078542964,2361.631325660247,465.62817754622864
test,high_flow,conditional,7,271,310.0399512392168,-123.27479552106887,693.5541495126711,1969.7082613278076,2700.5174718052344,556.775757710319
test,high_flow,conditional,8,271,362.8762327352496,-150.3947735488228,848.8213340619694,2530.59900441392,3069.329726028845,654.7088123781658
test,high_flow,conditional,9,271,416.0657762563653,-181.19303492555883,1022.1321521964201,3006.0784209693115,3232.284889548459,754.7813073894167
test,high_flow,conditional,10,271,471.305694181509,-216.48117372310568,1208.1383339554532,3273.9072081603676,3737.5133094403295,858.5251918682554
test,high_flow,conditional,11,271,528.4522315814057,-255.13364415011318,1390.1443801194005,3666.5342490011817,4286.18407611883,961.4805540109157
