horizon_h,subset,population,family,observed_targets,n,hits,hit_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
11,all,common,candidate,1934,1916,1214,0.6336116910229646,0.5087204160132651,0.06207637292506455,1.0306768225416991,2.0273823678027,5.451894885317248
11,high,individual,reference,237,235,85,0.3617021276595745,1.245188051447072,0.1931190343620184,2.4378268780134307,5.6486112982088335,8.086268435347241
11,high,individual,candidate,237,235,85,0.3617021276595745,1.0655343306823335,0.2023435269979823,2.281350771828826,3.778243948294403,5.451894885317248
11,high,common,reference,237,235,85,0.3617021276595745,1.245188051447072,0.1931190343620184,2.4378268780134307,5.6486112982088335,8.086268435347241
11,high,common,candidate,237,235,85,0.3617021276595745,1.0655343306823335,0.2023435269979823,2.281350771828826,3.778243948294403,5.451894885317248
12,all,individual,reference,1933,1914,1159,0.6055381400208987,0.5578625585913922,0.06390580880595645,1.1171171492666232,2.3835822839248406,9.038315647130192
12,all,individual,candidate,1933,1914,1159,0.6055381400208987,0.5334133630503713,0.06544340277891432,1.105813094604132,2.2043466518474495,5.744059452108404
12,all,common,reference,1933,1914,1159,0.6055381400208987,0.5578625585913922,0.06390580880595645,1.1171171492666232,2.3835822839248406,9.038315647130192
12,all,common,candidate,1933,1914,1159,0.6055381400208987,0.5334133630503713,0.06544340277891432,1.105813094604132,2.2043466518474495,5.744059452108404
12,high,individual,reference,237,235,71,0.3021276595744681,1.375190451817248,0.13448365065163226,2.855866873400791,6.060715564903982,9.038315647130192
12,high,individual,candidate,237,235,71,0.3021276595744681,1.176059557070381,0.14700686283989328,2.471966940505286,4.23795915784249,5.744059452108404
12,high,common,reference,237,235,71,0.3021276595744681,1.375190451817248,0.13448365065163226,2.855866873400791,6.060715564903982,9.038315647130192
12,high,common,candidate,237,235,71,0.3021276595744681,1.176059557070381,0.14700686283989328,2.471966940505286,4.23795915784249,5.744059452108404
