phase,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
test,2,full_schedule,all,hourly_plus2018,1966,23,1943,1935,8,1904,0.9839793281653747,0.979927946474524,0.08052432321981344,0.006011289773482985,0.46783135717565477,3.098020736704859
test,2,full_schedule,level_ge_7m,hourly_control,1966,23,237,236,1,215,0.9110169491525424,0.9071729957805907,0.1816913689950492,-0.020641930375908394,0.9793903215097621,3.0085622785030273
test,2,full_schedule,level_ge_7m,hourly_plus2018,1966,23,237,236,1,218,0.923728813559322,0.919831223628692,0.170581050456176,-0.04073102769763183,1.0761006330554275,3.098020736704859
test,2,complete_upstream18,all,hourly_control,1362,4,1358,1357,1,1342,0.9889462048636699,0.9882179675994109,0.0656804047432747,0.010111987636544938,0.38596478902193937,0.7567406519475135
test,2,complete_upstream18,all,hourly_plus2018,1362,4,1358,1357,1,1347,0.9926308032424466,0.991899852724595,0.06363743434490642,0.007941522967440608,0.36143180665475233,0.6547393142323834
test,2,complete_upstream18,level_ge_7m,hourly_control,1362,4,143,143,0,134,0.9370629370629371,0.9370629370629371,0.12261321074509078,0.011652682432892397,0.642387777489305,0.7567406519475135
test,2,complete_upstream18,level_ge_7m,hourly_plus2018,1362,4,143,143,0,137,0.958041958041958,0.958041958041958,0.1068994403550988,-0.006042150479699581,0.6171081312376502,0.6547393142323834
test,2,missing_upstream18,all,hourly_control,604,19,585,578,7,556,0.9619377162629758,0.9504273504273504,0.12102440629514148,0.01616583371685382,0.6813924223440632,3.0085622785030273
test,2,missing_upstream18,all,hourly_plus2018,604,19,585,578,7,557,0.9636678200692042,0.9521367521367521,0.12017053118391177,0.0014795831226170788,0.6763698029100657,3.098020736704859
test,2,missing_upstream18,level_ge_7m,hourly_control,604,19,94,93,1,81,0.8709677419354839,0.8617021276595744,0.2725319779170283,-0.07029923824320423,2.332189651351559,3.0085622785030273
test,2,missing_upstream18,level_ge_7m,hourly_plus2018,604,19,94,93,1,81,0.8709677419354839,0.8617021276595744,0.2685000853427785,-0.09406983890369969,2.424303142275257,3.098020736704859
test,3,full_schedule,all,hourly_control,1965,23,1942,1932,10,1879,0.972567287784679,0.9675592173017508,0.10120592211712293,-0.002943811935662217,0.6485776089415102,4.121507568463075
test,3,full_schedule,all,hourly_plus2018,1965,23,1942,1932,10,1874,0.9699792960662525,0.964984552008239,0.10242945892826975,-0.003338938832734057,0.6785562697830634,4.058231563230118
test,3,full_schedule,level_ge_7m,hourly_control,1965,23,237,236,1,202,0.8559322033898306,0.8523206751054853,0.28695729570194706,-0.08361793545473083,1.8063044250558544,4.121507568463075
test,3,full_schedule,level_ge_7m,hourly_plus2018,1965,23,237,236,1,200,0.847457627118644,0.8438818565400844,0.2894561920773366,-0.07895328784875723,1.7484008878274262,4.058231563230118
test,3,complete_upstream18,all,hourly_control,1361,5,1356,1355,1,1336,0.9859778597785978,0.9852507374631269,0.0778670093027286,0.005219532674311296,0.42320712910393277,0.8545238041257956
test,3,complete_upstream18,all,hourly_plus2018,1361,5,1356,1355,1,1333,0.9837638376383764,0.9830383480825958,0.07880838078055337,0.006357767835816495,0.4498477921574467,0.9269501048805164
test,3,complete_upstream18,level_ge_7m,hourly_control,1361,5,142,142,0,130,0.9154929577464789,0.9154929577464789,0.17432204908767907,-0.01954118910494483,0.7175008314970398,0.8545238041257956
test,3,complete_upstream18,level_ge_7m,hourly_plus2018,1361,5,142,142,0,128,0.9014084507042254,0.9014084507042254,0.18224214480311382,-0.007048189762766329,0.8076269380280443,0.9184537759801046
test,3,missing_upstream18,all,hourly_control,604,18,586,577,9,543,0.9410745233968805,0.9266211604095563,0.15601394094468674,-0.022114231253710936,0.9378158520380613,4.121507568463075
test,3,missing_upstream18,all,hourly_plus2018,604,18,586,577,9,541,0.9376083188908145,0.9232081911262798,0.15790010171883423,-0.02611023438886231,0.8922198140442351,4.058231563230118
test,3,missing_upstream18,level_ge_7m,hourly_control,604,18,95,94,1,72,0.7659574468085106,0.7578947368421053,0.4571084129277564,-0.18041472249376922,3.2633665990079135,4.121507568463075
test,3,missing_upstream18,level_ge_7m,hourly_plus2018,604,18,95,94,1,72,0.7659574468085106,0.7578947368421053,0.45141783795967305,-0.18757588282972218,3.234781990203578,4.058231563230118
test,4,full_schedule,all,hourly_control,1964,23,1941,1930,11,1860,0.9637305699481865,0.9582689335394127,0.12530877032224458,-0.00029539741497160025,0.7237438011352982,4.948287514603261
test,4,full_schedule,all,hourly_plus2018,1964,23,1941,1930,11,1867,0.9673575129533679,0.9618753219989696,0.12587821276004338,-0.008207225598610427,0.6942351580990946,5.131503932182897
test,4,full_schedule,level_ge_7m,hourly_control,1964,23,237,236,1,189,0.8008474576271186,0.7974683544303798,0.3887337600006435,-0.11519020159518831,2.6831324617384604,4.948287514603261
test,4,full_schedule,level_ge_7m,hourly_plus2018,1964,23,237,236,1,188,0.7966101694915254,0.7932489451476793,0.39709884385949334,-0.1068048220465154,2.7360549580866254,5.131503932182897
test,4,complete_upstream18,all,hourly_control,1360,5,1355,1354,1,1325,0.9785819793205317,0.977859778597786,0.09809843749744773,0.008350375654826967,0.5527381048855241,0.9850184619941071
test,4,complete_upstream18,all,hourly_plus2018,1360,5,1355,1354,1,1329,0.981536189069424,0.9808118081180812,0.09815599573834895,0.0037362374831577156,0.473960052994975,1.129543148320602
test,4,complete_upstream18,level_ge_7m,hourly_control,1360,5,141,141,0,124,0.8794326241134752,0.8794326241134752,0.2338156860819653,-0.044215095214693356,0.8797052316290236,0.9850184619941071
test,4,complete_upstream18,level_ge_7m,hourly_plus2018,1360,5,141,141,0,121,0.8581560283687943,0.8581560283687943,0.24404460700324265,-0.03254458851195663,1.022901851645696,1.129543148320602
test,4,missing_upstream18,all,hourly_control,604,18,586,576,10,535,0.9288194444444444,0.9129692832764505,0.18927194852497886,-0.020618968138074487,1.288219048794672,4.948287514603261
test,4,missing_upstream18,all,hourly_plus2018,604,18,586,576,10,538,0.9340277777777778,0.9180887372013652,0.19104467430062375,-0.036282657912350115,1.2292643740640115,5.131503932182897
