phase,family,horizon_h,n,recent_n,added_n,weight_sum,input119_sha256,response_sha256,weight_sha256,first_origin,last_origin,latest_target
test,hourly_plus2018,9,11131,10827,304,13999,83224d3a269bc8b927970f92f6eccc02cd77f7325a71831afc7bb3216705e32c,0466fa8633e0c80ad9138360fa1d73b098ec36201c5a098bcde49c33c69a1a2d,c21ac355399249ed388854a10694e5a5b66f65025ae1df8703fff474f8c053bc,2018-08-30T00:00:00-03:00,2026-06-30T14:00:00-03:00,2026-06-30T23:00:00-03:00
validation,hourly_control,10,4351,4351,0,5909,e9ff6c942f58eabe46d77471d19235816c63155274daccb94a022a6d102acc1d,63257de174e3d076f7724d8e3a6ae9340db4ebf4050f0f04df157922b75832c9,4e205b9776f51052e5501536ea1e2faac60c00a0832b956bf347530f3548cadc,2025-04-01T09:00:00-03:00,2025-09-30T13:00:00-03:00,2025-09-30T23:00:00-03:00
validation,hourly_plus2018,10,4653,4351,302,6409,f024a10e87e3901136e886afff1dad7de3878d66bbcad5306a6c9cdd6064f373,d6c7a6067b3bdd5b751ffc23818995fd2aec9d5fb17f7146ba25c8ec8b5ce325,25a991b2c24f5090c1cff20bdd0d2adea17c9e1ae7c76fe1ddc652f1fc1985b1,2018-08-30T00:00:00-03:00,2025-09-30T13:00:00-03:00,2025-09-30T23:00:00-03:00
test,hourly_control,10,10825,10825,0,13677,7d8ce9afe44c95168e7389ba9df9d06be540fff5bc36d1505533f30fde94c51b,8d59523ff551f953264919b82889dd0102de4bd63bfdf699652f0cc1b333a64d,9be035a66a3807c96c53e78b2d6dd62bd4c1eea626245656f065fb325f69553e,2025-04-01T09:00:00-03:00,2026-06-30T13:00:00-03:00,2026-06-30T23:00:00-03:00
test,hourly_plus2018,10,11127,10825,302,14177,8d53cbb15ed4f07f8b7a55d345943806be7156ed2fa2a5d7a0eef89b5909d4f7,84638924d2abfb4ab4bd582cdd684e9f3ab3c8190cde8a25eaea19c1bfc3f7fa,2619d3274432c2fc9b6bae3157ad081d1a6e63e55b247471fc3b4daa6f6b3031,2018-08-30T00:00:00-03:00,2026-06-30T13:00:00-03:00,2026-06-30T23:00:00-03:00
validation,hourly_control,11,4350,4350,0,5984,0abd9b6fafd930aaef7654195cb26086e50b559a96ada26a71821b4bab5cf35e,11fb7e1fa2162b4745af8cbf64ce2c5418a13de4c5235eb85e603b855f13d975,9063505c79c76bc7d31428e79574239c5f5eba5f953d7e9d4c0e998e8d4c0c16,2025-04-01T09:00:00-03:00,2025-09-30T12:00:00-03:00,2025-09-30T23:00:00-03:00
validation,hourly_plus2018,11,4651,4350,301,6493,75e091e11a0c1276069052e227fa0c0369d490a035387f1a9bcad88c54c1e581,92fcab3addccecfec77a2994cedec070bdef01da558ab2019fc2c3e8c8ebc5a6,e7960e9f20eb7e0c8331ce9d08d59ec1dbc45a0177d0f0469b65faba7242c28e,2018-08-30T00:00:00-03:00,2025-09-30T12:00:00-03:00,2025-09-30T23:00:00-03:00
test,hourly_control,11,10823,10823,0,13799,a80179197e1fc6e72f96aae73e42f7512c3d2c66ce4538e00f2d3279cfa404da,543985ba35739368ccd95c643d30e9c5123aeb8ccb116f41253e9dbfa5f2b499,460a63a4946dac30267f3c0cc4426107b786eed53d6bebc993d003d817883336,2025-04-01T09:00:00-03:00,2026-06-30T12:00:00-03:00,2026-06-30T23:00:00-03:00
test,hourly_plus2018,11,11124,10823,301,14308,33350dd82c421235e08c18ce69c9a262040baec7d3f0168c8c5d6046423e8e34,bcce334da360ec98a54dfe5e93f4f33ac8946edf59eec404ddc253978208f647,fe17be92493fa05a7383d69668db2cf5ec08b4052aafa29f7ff3595bb3ee79d6,2018-08-30T00:00:00-03:00,2026-06-30T12:00:00-03:00,2026-06-30T23:00:00-03:00
validation,hourly_control,12,4349,4349,0,6053,47b591e521fb087a2698c862e5583c7375372d16dc4c2369d9fb9667a59e9d6b,92c632da4a7a128e43286b6ab1c6418d644aebee6ac5e85346d7bbda38f5cdd4,3f7d51e5bae5e16b30a45e0d82734b5f555dd8d4cb10a05a1f8bb60f70743c86,2025-04-01T09:00:00-03:00,2025-09-30T11:00:00-03:00,2025-09-30T23:00:00-03:00
validation,hourly_plus2018,12,4648,4349,299,6578,c503cb85604a77234cc0904879cba38c2ae005b7316983a234e94b7ba15a913c,33f36ad2385209ff7eef533d9bf3bbc3f686d33ce0be675455dd69e2db4c99f0,a6657b15c943ef31aaaea8752afc68b2ba9093baeff14cb8dfbf7ff8a6cc76cc,2018-08-30T00:00:00-03:00,2025-09-30T11:00:00-03:00,2025-09-30T23:00:00-03:00
test,hourly_control,12,10821,10821,0,13863,bf38071261c19803b12de378f20ee6e71c0d92cef4b7713784d7555cc8cf1cb3,46ddbe8f6b587365d72794aabcf407f8c2712ee62042b1d2c443427d297ee0cd,3ba796e87cae0955a0b6bebf28fd5f02efb8295ab5338c1372f371890f47a55a,2025-04-01T09:00:00-03:00,2026-06-30T11:00:00-03:00,2026-06-30T23:00:00-03:00
test,hourly_plus2018,12,11120,10821,299,14388,0732ae0b505ba0796609600a4ca769340fa9483f8ca2d5d22b13f4142c2c0575,e6fb6f752bdc93bd97ec01803d0e6bb05c584254376ee8cf1aee4e3a063c991b,7c63654c3a1cc13acae65d66cbf0aba7cc3f3d6291f8ec6849ff156eaa01fe74,2018-08-30T00:00:00-03:00,2026-06-30T11:00:00-03:00,2026-06-30T23:00:00-03:00
